Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.01995993685678E-05,-7.02233808926034E-06,-0.0170204486555059,0,0,0,0.427164873283659,0.000389419100678071,-2.19452864339234E-08,2.42560577867763E-09,0.000935141379406109,2.11587249040115E-08,0.00122689626017959,0,0,0,0,0,0,package://hexaurdf10/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/base_link.STL,,hexa base-1;MG995-5;MG995-3;MG995-1;MG995-2;MG995-7;MG995-4,Coordinate System19,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coxa1,-0.00996677615501421,0.0534816504142664,0.0283131774124853,0,0,0,0.115130491493586,8.27245013930469E-05,1.1604100599582E-05,4.29413505869315E-08,4.24173396939557E-05,-1.89820233719475E-07,7.59549025648864E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa1.STL,,left leg-1/hip-1;left leg-1/MG995-1,Coordinate System1,Axis1,coxajt1,revolute,-0.087434,0.047179,-0.05093,0,0,0,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
femur1,-0.0392463982034434,0.033810727811229,0.0314749457890496,0,0,0,0.0660859499924982,5.32337357848377E-05,-4.48717442269826E-07,5.18265128385917E-06,5.50193485031449E-05,-2.18528856203791E-05,6.82136138765561E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/femur1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/femur1.STL,,left leg-1/fibula-1,Coordinate System2,Axis2,femurjt1,revolute,0.016657,0.085859,0.0282,0,0,0,coxa1,0.97301,0.23076,0,100,100,-1.57,1.57,,,,,,,,
tibia1,-0.0309143702456073,-0.00434467341630906,-0.0239746701916343,0,0,0,0.0831637264780428,7.26680960269865E-05,-7.47150261741655E-07,-5.40895617606461E-07,7.49625351804961E-05,7.60546051470148E-06,1.5460696027227E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/tibia1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/tibia1.STL,,left leg-1/base vir-1;left leg-1/MG995-2,Coordinate System3,Axis3,tibiajt1,revolute,-0.0205222673024253,0.0756993537012256,0.0588106656482051,0,0,0,femur1,0.973010691759489,0.23076003493179,0,100,100,-1.57,1.57,,,,,,,,
tip1,2.8944120935015E-05,-0.000122044266207932,0.0010109650611296,0,0,0,0.000239235376940892,1.17700421937413E-09,-2.38032850442416E-10,1.72208787878232E-11,2.12422901332552E-09,-7.26126566370207E-11,2.7729159203194E-09,0,0,0,0,0,0,package://hexaurdf10/meshes/tip1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/tip1.STL,,tip-1,Coordinate System20,Axis_tip1_jt3,tip1_jt,fixed,-0.036037,0.0066924,-0.1204,0,0,0,tibia1,0,0,0,100,100,,,,,,,,,,
coxa2,0.00702595295081485,0.0539468244177731,0.0283131778377294,0,0,0,0.115130507631966,8.56982209412201E-05,-2.43935388135997E-06,-1.77400455222318E-08,3.94436340830869E-05,-1.9380729963882E-07,7.59549161277092E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa2.STL,,left leg-2/hip-1;left leg-2/MG995-1,Coordinate System4,Axis4,coxajt2,revolute,1.04119442682904E-05,0.0419777704086039,-0.05093,0,0,0,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
femur2,-0.026895361536933,0.0442728429591131,0.0314749456998863,0,0,0,0.0660859497825229,5.31403664096481E-05,1.60960814885035E-07,-1.81486478003954E-06,5.51127174166766E-05,-2.23855924043355E-05,6.82136133643609E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/femur2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/femur2.STL,,left leg-2/fibula-1,Coordinate System5,Axis5,femurjt2,revolute,0.0423424111674541,0.0765264348093442,0.0282,0,0,0,coxa2,0.996729696182891,-0.080807875526849,0,100,100,-1.57,1.57,,,,,,,,
tibia2,-0.0307460867657561,0.00540861064554149,-0.0239746471855047,0,0,0,0.0831636657575238,7.24479308066596E-05,6.87431336759013E-08,1.83278628407196E-06,7.51826173621094E-05,7.40113031131103E-06,1.54606798866916E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/tibia2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/tibia2.STL,,left leg-2/base vir-1;left leg-2/MG995-2,Coordinate System6,Axis6,tibiajt2,revolute,0.0038428667079584,0.0783376536633586,0.0588106656482051,0,0,0,femur2,0.996729696182889,-0.0808078755268694,0,100,100,-1.57,1.57,,,,,,,,
tip2,-1.01356932210722E-05,-0.000125019329600962,0.00101096506112963,0,0,0,0.000239235376940891,1.12747469759534E-09,8.53866107810884E-11,-6.03043169915054E-12,2.1737585351043E-09,-7.43827296059554E-11,2.77291592031939E-09,0,0,0,0,0,0,package://hexaurdf10/meshes/tip2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/tip2.STL,,tip-2,Coordinate System21,Axis_tip2_jt,tip2_jt,fixed,-0.032212,0.017488,-0.1204,0,0,0,tibia2,0,0,0,100,100,,,,,,,,,,
coxa3,0.0221997669125888,0.0542198822140822,0.0283131763965716,0,0,0,0.115130485576148,8.22944716782395E-05,-1.23208399526327E-05,-6.08415393151183E-08,4.28473562555238E-05,-1.84857912109661E-07,7.59548987313903E-05,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hexaurdf10/meshes/coxa3.STL,,left leg-3/hip-1;left leg-3/MG995-1,Coordinate System7,Axis7,coxajt3,revolute,0.0872345529340218,0.0471785774978925,-0.05093,0,0,0,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
